located Name,Wattage,Price,Efficiency,Matched Tier Model,Tier,Matched Tier Model Info,Similarity,Image URL,modularity,Product URL,size,color,atxver
Tecnoware Free Silent,500,24.9,,No Match,N/A,No Match Info,0,https://m.media-amazon.com/images/I/41suxKFcg1L.jpg,No,,ATX,Black,N/A
Xilence XP400R6,400,30.49,,No Match,N/A,No Match Info,0,https://cdna.pcpartpicker.com/static/forever/images/product/0f8d20525e1ac771c5b7696bbee0d163.256p.jpg,No,,ATX,Black / Red,N/A
Deepcool PF350 230V,350,31.73,80+,deepcool gamerstorm pf,E,"Doesn't claim necessary protections, unknown components such as the capacitors.",90.82727272727271,https://cdna.pcpartpicker.com/static/forever/images/product/bb2cd1d07ef6599cc096a3f760d25d28.256p.jpg,No,,ATX,Black,ATX 2.x
Gigabyte P450B,450,33.9,80+ Bronze,gigabyte pb,E,,112.55,https://m.media-amazon.com/images/I/41FxTFFeX4L.jpg,No,,ATX,Black,ATX 2.x
Xilence XP500R6,500,34.99,,No Match,N/A,No Match Info,0,https://cdna.pcpartpicker.com/static/forever/images/product/7cfc7e81a5e3b77b4d14ca3b214cb406.256p.jpg,No,,ATX,Black / Red,N/A
Xilence XP600R6,600,36.59,,No Match,N/A,No Match Info,0,https://cdna.pcpartpicker.com/static/forever/images/product/5b1ec52685b70f9f36d952da40e897e5.256p.jpg,No,,ATX,Black / Red,N/A
Xilence XP450R10,450,37.13,80+ Bronze,xilence gaming bronze,E,"Claims to be DC-DC, but internal shots show otherwise; false advertising.",87.91956521739131,https://m.media-amazon.com/images/I/41aRAw2wd7L.jpg,No,,ATX,Black / Red,ATX 2.x
Xilence XP650R6.2,650,37.98,80+,xilence performance a xp r5,E,,82.68333333333334,https://cdna.pcpartpicker.com/static/forever/images/product/8aed79a0f8cf935cc284e0be6ac7ddc8.256p.jpg,No,,ATX,Black,ATX 2.x
Gigabyte PW400,400,39.64,80+,No Match,N/A,No Match Info,0,https://cdna.pcpartpicker.com/static/forever/images/product/f0c8f1f8370785f58165de164bf0fcba.256p.jpg,No,,ATX,Black,N/A
Gigabyte P550SS,550,39.9,80+ Silver,gigabyte p ss,C*,"Not enough extensive testing; platform is unknown but looks similar to the Cougar GEC, which uses a costdown 2008 platform.",114.36428571428571,https://cdna.pcpartpicker.com/static/forever/images/product/f8335bb0ae22c54160c81c9933481d0d.256p.jpg,No,,ATX,Black,ATX 2.x
Inter-Tech Argus APS,720,40.43,,No Match,N/A,No Match Info,0,https://cdna.pcpartpicker.com/static/forever/images/product/eb08abd4b283f558d3f3d239046afb03.256p.jpg,No,,ATX,Black / Orange,N/A
